EntryID	Substrate	EnzymeType	PubMedID	Organism	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
3804	NAD+;1-Octanol	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	concentration	NAD+	0.0024		-	M
3804	NAD+;1-Octanol	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	Km	1-Octanol	5.5E-4		-	M
3804	NAD+;1-Octanol	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	kcat		2.833333		-	s^(-1)
3805	NAD+;1-Pentanol	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	kcat		0.1833333		-	s^(-1)
3805	NAD+;1-Pentanol	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	Km	1-Pentanol	0.027		-	M
3805	NAD+;1-Pentanol	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	concentration	NAD+	0.0024		-	M
3806	12-Hydroxydodecanoic acid;NAD+	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	kcat		0.3333333		-	s^(-1)
3806	12-Hydroxydodecanoic acid;NAD+	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	concentration	NAD+	0.0024		-	M
3806	12-Hydroxydodecanoic acid;NAD+	wildtype class III	2936344	Homo sapiens	P11766	1.1.1.1	Km	12-Hydroxydodecanoic acid	5.6E-5		-	M
4505	NAD+;Ethanol	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		408.3333		-	s^(-1)
4505	NAD+;Ethanol	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NAD+	3.9E-4		-	M
4505	NAD+;Ethanol	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NAD+	5.0E-5	0.02	-	M
4505	NAD+;Ethanol	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NAD+	1046667.0		-	M^(-1)*s^(-1)
4506	Ethanol;NAD+	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NAD+	5.0E-5	0.02	-	M
4506	Ethanol;NAD+	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NAD+	405000.0		-	M^(-1)*s^(-1)
4506	Ethanol;NAD+	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		405.0		-	s^(-1)
4506	Ethanol;NAD+	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NAD+	0.001		-	M
4507	NAD+;Ethanol	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		285.0		-	s^(-1)
4507	NAD+;Ethanol	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NAD+	5.0E-5	0.02	-	M
4507	NAD+;Ethanol	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NAD+	9.8E-4		-	M
4507	NAD+;Ethanol	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NAD+	290000.0		-	M^(-1)*s^(-1)
4508	NAD+;Ethanol	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NAD+	5.7E-4		-	M
4508	NAD+;Ethanol	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NAD+	246666.7		-	M^(-1)*s^(-1)
4508	NAD+;Ethanol	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NAD+	5.0E-5	0.02	-	M
